"0";"2";"23-OCT-2017 09:38:32";"CC11LIST V0734";"C:\Users\Administrator\Desktop\泰州万达希尔顿酒店170217\DCR001C.DAT";"ISOLATIN-1";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"1801";"0";"0";"AREA";"希尔顿裙楼探测分区";"1801/1";"A";"A1CC";"-";"LOG";"01:000:000:000";"0";"0"
"2";"2";"1";"1801";"0";"0";"AREA";"希尔顿裙楼探测分区";"1801/1";"A";"A1CD";"-";"LOG";"01:000:000:000";"0";"0"
"3";"2";"1";"1801";"0";"0";"AREA";"希尔顿裙楼探测分区";"1801/1";"A";"A1EA";"-";"LOG";"01:000:000:000";"0";"0"
"4";"2";"1";"1801";"0";"0";"AREA";"希尔顿裙楼探测分区";"1801/1";"A";"A1EC";"-";"LOG";"01:000:000:000";"0";"0"
"5";"2";"1";"1801";"0";"0";"AREA";"希尔顿裙楼探测分区";"1801/1";"A";"A1ED";"-";"LOG";"01:000:000:000";"0";"0"
"6";"2";"1";"1801";"0";"0";"AREA";"希尔顿裙楼探测分区";"1801/1";"A";"A1EF";"-";"LOG";"01:000:000:000";"0";"0"
"7";"2";"483";"1701";"1";"0";"SECT";"希尔顿裙楼探测分区";"酒店地下二层探测器";"A";"0366";"-";"LOG";"01:001:000:000";"0";"0"
"8";"2";"1950";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"弱电井烟感";"A";"0B29";"-";"LOG";"01:001:001:000";"0";"255"
"9";"2";"2198";"1504";"1950";"59329";"????";"酒店地下二层探测器";"弱电井烟感";"X";"0000";"-";"LOG";"01:001:001:001";"0";"255"
"10";"2";"1952";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"女淋浴区门口走道烟感";"A";"0B2B";"-";"LOG";"01:001:002:000";"0";"255"
"11";"2";"2196";"1504";"1952";"59331";"????";"酒店地下二层探测器";"女淋浴区门口走道烟感";"X";"0000";"-";"LOG";"01:001:002:001";"0";"255"
"12";"2";"1953";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"女淋浴区南前室烟感";"A";"0B2C";"-";"LOG";"01:001:003:000";"0";"255"
"13";"2";"2195";"1504";"1953";"59332";"????";"酒店地下二层探测器";"女淋浴区南前室烟感";"X";"0000";"-";"LOG";"01:001:003:001";"0";"255"
"14";"2";"1954";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"女淋浴区南卫生间温感";"A";"0B2D";"-";"LOG";"01:001:004:000";"0";"255"
"15";"2";"2194";"1504";"1954";"0";"????";"酒店地下二层探测器";"女淋浴区南卫生间温感";"X";"0000";"-";"LOG";"01:001:004:001";"0";"255"
"16";"2";"1955";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"女淋浴区温感2";"A";"0B2E";"-";"LOG";"01:001:005:000";"0";"255"
"17";"2";"2193";"1504";"1955";"0";"????";"酒店地下二层探测器";"女淋浴区温感2";"X";"0000";"-";"LOG";"01:001:005:001";"0";"255"
"18";"2";"1956";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"女淋浴区温感1";"A";"0B2F";"-";"LOG";"01:001:006:000";"0";"255"
"19";"2";"2192";"1504";"1956";"0";"????";"酒店地下二层探测器";"女淋浴区温感1";"X";"0000";"-";"LOG";"01:001:006:001";"0";"255"
