"0";"2";"23-OCT-2017 09:38:45";"CC11LIST V0734";"C:\Users\Administrator\Desktop\Ì©ÖÝÍò´ïÏ£¶û¶Ù¾Æµê170217\DCR002C.DAT";"ISOLATIN-1";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"1801";"0";"0";"AREA";"Ï£¶û¶Ù±ê×¼²ãÌ½²â·ÖÇø";"1801/1";"A";"A1CC";"-";"LOG";"05:000:000:000";"0";"0"
"2";"2";"1";"1801";"0";"0";"AREA";"Ï£¶û¶Ù±ê×¼²ãÌ½²â·ÖÇø";"1801/1";"A";"A1CD";"-";"LOG";"05:000:000:000";"0";"0"
"3";"2";"1";"1801";"0";"0";"AREA";"Ï£¶û¶Ù±ê×¼²ãÌ½²â·ÖÇø";"1801/1";"A";"A1EA";"-";"LOG";"05:000:000:000";"0";"0"
"4";"2";"1";"1801";"0";"0";"AREA";"Ï£¶û¶Ù±ê×¼²ãÌ½²â·ÖÇø";"1801/1";"A";"A1EC";"-";"LOG";"05:000:000:000";"0";"0"
"5";"2";"1";"1801";"0";"0";"AREA";"Ï£¶û¶Ù±ê×¼²ãÌ½²â·ÖÇø";"1801/1";"A";"A1ED";"-";"LOG";"05:000:000:000";"0";"0"
"6";"2";"1";"1801";"0";"0";"AREA";"Ï£¶û¶Ù±ê×¼²ãÌ½²â·ÖÇø";"1801/1";"A";"A1EF";"-";"LOG";"05:000:000:000";"0";"0"
"7";"2";"470";"1701";"1";"0";"SECT";"Ï£¶û¶Ù±ê×¼²ãÌ½²â·ÖÇø";"¾Æµê6²ãÌ½²âÆ÷";"A";"0359";"-";"LOG";"05:001:000:000";"0";"0"
"8";"2";"560";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"601ÑÌ¸Ð";"A";"03B3";"-";"LOG";"05:001:001:000";"0";"255"
"9";"2";"759";"1504";"560";"65187";"????";"¾Æµê6²ãÌ½²âÆ÷";"601ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:001:001";"0";"255"
"10";"2";"561";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"602ÑÌ¸Ð";"A";"03B4";"-";"LOG";"05:001:002:000";"0";"255"
